Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_feature
116694,51cc3dd2-c05d-4d56-b81f-f30e480a80a8,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Challenges make it interesting,5,1,1.3.3,2017-05-07 14:40:21,,,POSITIVE,Challenges
117909,f2f8994b-283a-4581-b1c5-e037343c192e,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"The best app to learn coding would be this, Even after finishing the course there is so much to learn from your peers. Challenges makes learning even better, comments and discussion helped a lot. However I wish it had option to communicate with fellow Sololearners via message or option for groupchat to work problems together.",4,0,1.3.1,2017-04-23 10:25:24,,,POSITIVE,Challenges
118177,31e4ecd0-4f97-42a9-9556-3e484691eea6,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Challenges are fun way to kill time!,4,0,1.3.1,2017-04-20 04:43:44,,,POSITIVE,Challenges
118818,da06ab24-ac6a-4dff-81df-ad6ec138c904,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Started to learn about 4 languages (PHP, C++, HTML, and Javascript) and I love it. Challenges to increase your on hands knowledge and actual programs they tell you that allow you to practice your code.",5,1,1.3.1,2017-04-12 10:58:33,,,POSITIVE,Challenges
120054,4fb5c9ab-259d-498f-af56-4d529788d981,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Challenges are fun, but learning can never be a pun.",5,0,1.2,2017-03-28 15:35:29,,,POSITIVE,Challenges
122339,57c80859-cce9-40aa-8fdd-892c886e22dd,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Great app to get you started with working knowledge of different languages. Challenges feature is just cool, keeps you motivated.",5,0,1.1,2017-03-02 08:52:47,,,POSITIVE,Challenges
123135,e6ab6008-3c7f-4c55-aeb0-31ad55ba6010,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Challenges your brain to think and create,5,0,1.0.2,2017-02-21 08:12:48,,,POSITIVE,Challenges
125128,fa319aa1-9331-4b0c-b7a8-560ddb03f94f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Fun to use. Great lessons. Various languages. Challenges with others rock.,4,0,1.0.1,2017-01-29 14:33:17,,,POSITIVE,Challenges
128290,cf85b35d-23e6-4479-90b0-076e62949f2c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Awesome as it was now even better as all is under one roof now..... Challenges etc etc r also superb,5,0,0.9.7,2016-12-13 13:55:23,,,POSITIVE,Challenges
128321,14589817-907a-4ee1-998a-52ea5fee53a9,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,The app is wonderful especially for beginners to start coding. But it will be better if some more chapters are added. Challenges are very good. But preview of question along with answers description must be added at the end of challenge.,4,0,0.9.7,2016-12-13 02:52:54,,,POSITIVE,Challenges
129040,3bf672a0-7b2c-4d88-b136-b5ec35d25028,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Some suggestions to improve:1-&gt;Challenges are only in two language C++ and Javascript..2-&gt;Many times question are repeated in challenges..,5,0,0.9,2016-11-30 10:30:00,,,NEGATIVE,Challenges
